-----------------------------------
数据大于1M,已自动保存: /Serial_Assistant_Cfg/Auto_Save/2024-06-13_11-09-04.txt
-----------------------------------
[11:09:16.764] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=55.604, Ver_act_Pos=17.924, Ver_Cur=30, Hor_Cur=144} 
[11:09:16.864] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=62.146, Ver_act_Pos=23.942, Ver_Cur=71, Hor_Cur=139} 
[11:09:16.964] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=70.323, Ver_act_Pos=30.877, Ver_Cur=143, Hor_Cur=141} 
[11:09:17.064] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=81.771, Ver_act_Pos=38.596, Ver_Cur=108, Hor_Cur=138} 
[11:09:17.165] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=96.490, Ver_act_Pos=47.362, Ver_Cur=6, Hor_Cur=140} 
[11:09:17.264] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=107.938, Ver_act_Pos=57.436, Ver_Cur=364, Hor_Cur=138} 
[11:09:17.365] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=111.208, Ver_act_Pos=68.360, Ver_Cur=31, Hor_Cur=143} 
[11:09:17.465] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=106.302, Ver_act_Pos=79.285, Ver_Cur=109, Hor_Cur=140} 
[11:09:17.540] [LOG]current:130, voltage:29370, soc:97, status:discharge, hor_cnt:0, ver_cnt:1759
[11:09:17.565] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=104.667, Ver_act_Pos=90.013, Ver_Cur=179, Hor_Cur=136} 
[11:09:17.665] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=106.302, Ver_act_Pos=100.415, Ver_Cur=281, Hor_Cur=139} 
[11:09:17.764] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=106.302, Ver_act_Pos=111.012, Ver_Cur=177, Hor_Cur=147} 
[11:09:17.865] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=104.667, Ver_act_Pos=121.413, Ver_Cur=174, Hor_Cur=137} 
[11:09:17.965] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=107.938, Ver_act_Pos=132.011, Ver_Cur=287, Hor_Cur=143} 
[11:09:18.065] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=112.844, Ver_act_Pos=143.132, Ver_Cur=589, Hor_Cur=141} 
[11:09:18.165] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=116.115, Ver_act_Pos=154.514, Ver_Cur=480, Hor_Cur=134} 
[11:09:18.265] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=109.573, Ver_act_Pos=165.831, Ver_Cur=244, Hor_Cur=142} 
[11:09:18.364] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=103.031, Ver_act_Pos=176.494, Ver_Cur=880, Hor_Cur=148} 
[11:09:18.465] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=104.667, Ver_act_Pos=186.830, Ver_Cur=767, Hor_Cur=139} 
[11:09:18.556] [LOG]current:30, voltage:29370, soc:97, status:discharge, hor_cnt:0, ver_cnt:1759
[11:09:18.565] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=99.760, Ver_act_Pos=196.904, Ver_Cur=752, Hor_Cur=136} 
[11:09:18.665] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=107.938, Ver_act_Pos=207.240, Ver_Cur=541, Hor_Cur=136} 
[11:09:18.765] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=104.667, Ver_act_Pos=217.968, Ver_Cur=394, Hor_Cur=142} 
[11:09:18.865] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=106.302, Ver_act_Pos=228.500, Ver_Cur=384, Hor_Cur=142} 
[11:09:18.965] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=112.844, Ver_act_Pos=239.360, Ver_Cur=274, Hor_Cur=145} 
