-----------------------------------
数据大于1M,已自动保存: /Serial_Assistant_Cfg/Auto_Save/2024-06-13_13-21-21.txt
-----------------------------------
[13:21:34.630] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=149.804, Ver_Cur=167, Hor_Cur=0} 
[13:21:34.730] {Hor_act_Vel=0.000, Hor_act_Pos=0.319, Ver_act_Vel=0.000, Ver_act_Pos=149.804, Ver_Cur=177, Hor_Cur=0} 
[13:21:34.830] {Hor_act_Vel=0.000, Hor_act_Pos=0.319, Ver_act_Vel=0.000, Ver_act_Pos=149.804, Ver_Cur=140, Hor_Cur=0} 
[13:21:34.930] {Hor_act_Vel=0.000, Hor_act_Pos=0.319, Ver_act_Vel=0.000, Ver_act_Pos=149.804, Ver_Cur=171, Hor_Cur=0} 
[13:21:35.010] [LOG]current:180, voltage:29350, soc:99, status:discharge, hor_cnt:0, ver_cnt:0
[13:21:35.031] {Hor_act_Vel=0.000, Hor_act_Pos=0.319, Ver_act_Vel=0.000, Ver_act_Pos=149.804, Ver_Cur=176, Hor_Cur=0} 
[13:21:35.130] {Hor_act_Vel=0.000, Hor_act_Pos=0.319, Ver_act_Vel=0.000, Ver_act_Pos=149.804, Ver_Cur=172, Hor_Cur=0} 
[13:21:35.230] {Hor_act_Vel=0.000, Hor_act_Pos=0.319, Ver_act_Vel=0.000, Ver_act_Pos=149.804, Ver_Cur=143, Hor_Cur=0} 
[13:21:35.330] {Hor_act_Vel=0.000, Hor_act_Pos=0.319, Ver_act_Vel=0.000, Ver_act_Pos=149.804, Ver_Cur=161, Hor_Cur=0} 
[13:21:35.430] {Hor_act_Vel=0.000, Hor_act_Pos=0.319, Ver_act_Vel=0.000, Ver_act_Pos=149.804, Ver_Cur=170, Hor_Cur=0} 
[13:21:35.530] {Hor_act_Vel=0.000, Hor_act_Pos=0.319, Ver_act_Vel=0.000, Ver_act_Pos=149.804, Ver_Cur=159, Hor_Cur=0} 
[13:21:35.630] {Hor_act_Vel=0.000, Hor_act_Pos=0.319, Ver_act_Vel=0.000, Ver_act_Pos=149.804, Ver_Cur=161, Hor_Cur=0} 
[13:21:35.730] {Hor_act_Vel=0.000, Hor_act_Pos=0.319, Ver_act_Vel=0.000, Ver_act_Pos=149.804, Ver_Cur=171, Hor_Cur=0} 
[13:21:35.830] {Hor_act_Vel=0.000, Hor_act_Pos=0.319, Ver_act_Vel=0.000, Ver_act_Pos=149.804, Ver_Cur=161, Hor_Cur=0} 
[13:21:35.931] {Hor_act_Vel=0.000, Hor_act_Pos=0.319, Ver_act_Vel=0.000, Ver_act_Pos=149.804, Ver_Cur=153, Hor_Cur=0} 
[13:21:36.025] [LOG]current:130, voltage:29350, soc:99, status:discharge, hor_cnt:0, ver_cnt:0
[13:21:36.030] {Hor_act_Vel=0.000, Hor_act_Pos=0.319, Ver_act_Vel=0.000, Ver_act_Pos=149.739, Ver_Cur=170, Hor_Cur=0} 
[13:21:36.130] {Hor_act_Vel=0.000, Hor_act_Pos=0.319, Ver_act_Vel=0.000, Ver_act_Pos=149.739, Ver_Cur=172, Hor_Cur=0} 
[13:21:36.230] {Hor_act_Vel=0.000, Hor_act_Pos=0.319, Ver_act_Vel=0.000, Ver_act_Pos=149.804, Ver_Cur=177, Hor_Cur=0} 
